,AG_05414_AS.cel,AG_11745_AS.cel,AG_13927_AS.cel,KB_5047_2070_2_AS.CEL,KB_5275_2_AS.CEL,KB_5828_AS.cel,KB_6268_2_AS.cel,KB_8025_AS.cel,KB_8840_AS.cel
1050_at,8.3092939087435,8.42080381425516,8.32180160691614,8.4946639505452,8.31315945966539,8.32640050884634,8.38570945667576,8.45202755171113,8.37878414938823
1051_g_at,8.78266406264056,8.79320719446276,8.71527236844011,9.0093808839684,8.90273051542043,8.97861055691784,8.8550431704096,8.7517520013321,8.86283259638692
1052_s_at,9.6640102963885,9.72246065172714,9.42834585180787,11.2426719398642,9.55692113325594,9.85446691120081,10.1096247209203,10.0436229010295,10.7541040093369
1053_at,9.25605960211139,9.29959369162383,9.4007391420984,9.13755106178127,9.38051213252052,9.32267703210348,9.3405084341897,9.60758454816583,9.14105637574986
1054_at,8.79752315191894,8.74214647760349,8.95782922002476,8.8543492622985,8.99206172097708,8.87372676936428,8.89897342218634,9.03932014438502,8.88681301626479
1055_g_at,9.09854199767651,9.0505262516131,9.41602518950968,8.70619346611665,9.09003153119662,9.05401588306639,9.15943647899408,9.5545042047675,8.92711864073556
1056_s_at,8.5083966091272,8.68162930246443,8.68989913235404,8.4768925022483,8.65807317338978,8.65807317338978,8.65025455172266,8.66347665746193,8.72709664774726
1057_at,10.4315688910606,11.1239302439662,10.2963326768438,9.88135642934954,10.1942448849247,10.0433490488593,9.81411624220224,10.4790358171760,9.85399001058057
1058_at,9.88353156637283,10.1323110077631,9.7809477225997,9.9959779557588,9.61433991838145,9.79353833260797,10.0015460030323,9.87594403317026,9.45523524801842
1059_at,8.39659784882274,8.44386225661742,8.44386225661742,8.28842798168358,8.34074896619788,8.39537240181816,8.50286783367747,8.44449075333299,8.46601303757915
106_at,8.90450189526664,9.08410503785131,9.08363851642227,9.10844045317294,9.0353248434863,9.14040699387246,9.12451972933386,9.18404831693319,9.21500749568097
1060_g_at,9.4609066332269,9.33648515633718,9.42341785924021,9.5812740064444,9.51574760147417,9.58505955595338,9.49395769288131,9.3999520681753,9.5277802169234
1061_at,9.10064249671854,9.37143416493675,9.11176337809034,9.22902897616872,9.10235344422813,9.32961071565689,9.3281104282014,9.13216942715653,9.19777692746167
1062_g_at,8.79779570289278,8.84016846738408,8.82348350092093,8.9419177641338,8.81392896038361,8.93923130754015,8.74608358838225,8.88721076449645,8.8381762131215
1063_s_at,10.2147775577380,10.0779949681822,10.2757042541233,10.0910203193985,10.0165208231401,10.1608934060984,9.95800473885135,9.8965465039266,10.0028094832025
1064_at,9.53962645195225,9.12641610188533,9.26248880685178,9.15867310746518,9.29455123092538,9.35275048236328,9.27304875541839,9.2444438052911,9.19913701010961
1065_at,8.76271134243834,8.746097674488,8.68651987223866,8.840857889229,8.7776860186242,8.66274015257451,8.78028934998161,8.7554047055186,8.87479089328397
1066_at,8.75224230291946,8.87494872240008,8.87864463342217,8.82957852274137,8.80116542093967,8.7647849541102,8.81467626656142,8.981069620265,8.83727397543292
1067_at,8.70604864404249,8.68875687108968,8.70604864404249,8.71948752920875,8.72679139171537,8.78540847694387,8.64496755349676,8.7697535487104,8.57320192452451
1068_g_at,10.1444760446084,10.3159011559601,10.210804828803,10.1662798097363,10.0997133363419,10.1539673095611,10.1841748287733,10.3131543279613,10.1316430290128
1069_at,8.72664640720907,8.51784319450984,8.70460220585581,8.76258215989261,9.63103131375373,9.36965482959135,8.64177266814066,9.00382376649061,8.56773999050305
107_at,8.90475717500993,9.00671411123082,8.88696121065525,9.02208067778952,8.99098264699809,9.02623567795597,8.95839368624526,8.85517359082772,9.04885708077651
1070_at,8.88945829302271,9.2182121238332,9.12007833981619,9.16207191770086,9.04492173175974,8.99543052938831,9.08338702471703,9.07859719104854,9.02810632606646
1071_at,9.49905786720499,9.51704837748117,9.45240367566322,9.41422446132495,9.39532446527314,9.39260753459958,9.4209396222996,9.29937227044119,9.44445259800068
1072_g_at,9.79449019143116,9.68592639921369,9.80235640706998,9.69901898638396,9.70627124860096,9.7065555198035,9.71410726591241,9.53482201675644,9.67247130797371
1073_at,11.1414459507964,11.0471367740314,10.9121783996020,11.2388599756407,11.1918147524734,11.6068009134772,11.4646716599406,11.3299455108024,11.6235342422144
1074_at,10.0178876566208,10.0476624838320,9.83021166651367,9.84651360359298,9.86155575076772,9.4324377224665,9.71815626730028,9.54677276667733,9.79046053685763
1075_f_at,8.52367288004592,8.48684566371065,8.49906422709718,8.64962501214236,8.49681994977159,8.47490656831623,8.49906422709718,8.47262582026252,8.58926258463451
1076_at,8.54542848529982,8.5405850119083,8.54252781709033,8.57282896563032,8.45738528953874,8.49881792518548,8.54331433634676,8.64027136437842,8.49827469913137
1077_at,8.4513526817269,8.36621624367453,8.42086199519084,8.51525853004657,8.51934442949502,8.48522627024881,8.45154438682641,8.66475191022696,8.44121275084
1078_at,8.65799622161669,8.92917064276541,8.5375000211726,8.55970209980092,8.79797423659549,8.67265710476909,8.6305921161134,8.65585195600467,8.67265710476909
1079_g_at,9.05682585708472,9.2836924376089,9.00099423132347,9.15288061802173,9.26784773422931,9.1119776089843,9.07572069520765,8.92197297318671,9.1219089000808
108_g_at,10.1134267657883,10.1341497550893,10.0091608370650,10.2970538410718,10.3176971252235,10.2243487749967,10.0679095091561,9.95123580148253,10.0496406713072
1080_s_at,8.86549499094378,8.75986648154852,8.85958215854506,8.76781051741614,8.79698880588004,8.80002006951967,8.81616763772116,8.79240680040882,8.71822393099502
1081_at,11.1029540939728,10.6714880058065,11.1308532143736,11.0601874837277,11.7090008982187,11.2888683546691,11.1029540939728,10.9326494257015,10.8398416153758
1082_at,8.9676057919412,8.9875121213744,8.9533357718321,8.97798663660822,8.9585662605301,8.941955051231,8.89051919541768,9.0003096458443,8.96238196271396
1083_s_at,9.11422536969814,9.21467064363327,9.16298712255083,9.35932044126645,9.35296880047674,9.07671199580143,9.2282939374009,9.1583243714439,9.36874361936469
1084_at,9.02589591825712,9.11784556172573,9.13206599713452,9.03474272314723,8.96373428175816,9.09607735085658,8.93942961639173,8.96210402633677,9.03706336190347
1085_s_at,9.56028407600933,9.55005877511477,9.53691624023054,9.67231070232837,9.58381139899885,9.48894534143454,9.5361319700583,9.49020032372543,9.5361319700583
1086_at,8.81771039880392,8.85687365806768,8.8665579972506,8.933975842206,8.986223864706,8.78082308658328,8.89265987637933,8.87859698544638,9.01105161847778
1087_at,9.46211785215607,9.28392654665778,9.27775325992674,9.39050175659188,9.31897993235808,9.24252435260075,9.3021360670877,9.2466223981242,9.27903600203762
